Brand Name,Category,Occasion,Color Theme,Style,Color,Pattern,Season,Material,Price Range,Rating,Popularity,Availability,Discount
Ego,Women's Wear,Walima,N/A,Dress,White,Striped,Summer,Linen,Medium,3.1,High,Out of Stock,5%
Bonanza,Kids' Wear,Formal,N/A,Top,Purple,Floral,Summer,Linen,Medium,4.9,Low,In Stock,0%
Satrangi,Kids' Wear,Walima,N/A,Top,Green,Printed,Summer,Wool,Medium,4.6,High,In Stock,15%
Gul Ahmed,Women's Wear,Party,N/A,Dress,Yellow,Plain,Winter,Cotton,Medium,4.0,Low,In Stock,25%
Sana Safinaz,Kids' Wear,Wedding,N/A,Pants,Green,Plain,Winter,Wool,Low,3.5,High,In Stock,5%
Satrangi,Kids' Wear,Walima,N/A,Dress,Black,Printed,Summer,Wool,High,4.3,High,In Stock,25%
Nishat Linen,Women's Wear,Formal,N/A,Skirt,White,Printed,Summer,Cotton,Medium,4.9,Low,In Stock,5%
Satrangi,Kids' Wear,Casual,N/A,Dress,Purple,Embroidered,Winter,Cotton,Low,4.9,High,Out of Stock,0%
Alkaram,Women's Wear,Eid,N/A,Dress,White,Geometric,Summer,Chiffon,Medium,3.5,Medium,Out of Stock,25%
Satrangi,Women's Wear,Party,N/A,Pants,Blue,Plain,Winter,Linen,Medium,4.8,High,In Stock,20%
Nishat Linen,Kids' Wear,Casual,N/A,Pants,Red,Plain,Winter,Cotton,High,4.0,Low,Out of Stock,15%
Khaadi,Women's Wear,Beach,N/A,Top,Yellow,Printed,Winter,Cotton,High,3.9,Medium,In Stock,20%
Gul Ahmed,Women's Wear,Beach,N/A,Skirt,Purple,Printed,Winter,Silk,High,3.3,High,Out of Stock,15%
Gul Ahmed,Women's Wear,Mehendi,Blue,Dress,Blue,Embroidered,Summer,Cotton,Low,3.6,Low,In Stock,0%
Bonanza,Women's Wear,Beach,N/A,Pants,Black,Plain,Winter,Wool,Low,4.1,Low,In Stock,0%
Khaadi,Kids' Wear,Mehendi,Green,Top,Purple,Geometric,Winter,Silk,High,3.6,Low,In Stock,5%
Sana Safinaz,Kids' Wear,Beach,N/A,Top,Pink,Plain,Winter,Wool,Low,3.5,Medium,In Stock,25%
Ego,Women's Wear,Formal,N/A,Dress,Black,Striped,Summer,Wool,Medium,4.0,Low,In Stock,10%
Sana Safinaz,Women's Wear,Beach,N/A,Dress,Black,Striped,Summer,Cotton,High,4.7,Low,In Stock,15%
Gul Ahmed,Women's Wear,Formal,N/A,Skirt,Green,Striped,Summer,Cotton,Medium,3.8,Low,Out of Stock,20%
Bonanza,Kids' Wear,Party,N/A,Pants,Blue,Striped,Summer,Linen,Low,4.8,Low,Out of Stock,15%
Sana Safinaz,Kids' Wear,Walima,N/A,Skirt,Yellow,Printed,Summer,Silk,High,3.0,Low,In Stock,10%
Sana Safinaz,Women's Wear,Eid,N/A,Pants,Blue,Geometric,Summer,Cotton,Medium,3.8,Medium,In Stock,5%
Nishat Linen,Women's Wear,Beach,N/A,Dress,Red,Plain,Winter,Linen,Medium,3.0,Low,In Stock,10%
Gul Ahmed,Kids' Wear,Walima,N/A,Pants,Purple,Geometric,Winter,Chiffon,High,3.5,High,In Stock,15%
Alkaram,Women's Wear,Wedding,N/A,Pants,Pink,Printed,Summer,Chiffon,Medium,4.9,Medium,In Stock,20%
Satrangi,Kids' Wear,Party,N/A,Pants,White,Geometric,Winter,Wool,Medium,3.8,High,In Stock,10%
Gul Ahmed,Women's Wear,Beach,N/A,Pants,Green,Embroidered,Summer,Linen,High,4.8,Medium,Out of Stock,15%
Ego,Women's Wear,Walima,N/A,Skirt,Pink,Geometric,Summer,Linen,High,4.0,Medium,Out of Stock,15%
Ego,Women's Wear,Wedding,N/A,Dress,Yellow,Printed,Summer,Linen,Low,4.1,High,Out of Stock,25%
Gul Ahmed,Kids' Wear,Party,N/A,Pants,Black,Floral,Summer,Linen,Low,4.0,Medium,Out of Stock,20%
Alkaram,Women's Wear,Party,N/A,Skirt,Black,Geometric,Winter,Cotton,Medium,4.0,Medium,Out of Stock,0%
Nishat Linen,Kids' Wear,Wedding,N/A,Skirt,Yellow,Floral,Summer,Silk,High,3.9,Low,Out of Stock,15%
Ego,Kids' Wear,Wedding,N/A,Dress,Black,Polka Dot,Summer,Silk,Low,4.9,High,In Stock,10%
Satrangi,Kids' Wear,Casual,N/A,Skirt,Black,Embroidered,Winter,Linen,Medium,4.4,Medium,Out of Stock,20%
Gul Ahmed,Kids' Wear,Party,N/A,Skirt,Purple,Polka Dot,Winter,Silk,High,3.3,High,Out of Stock,10%
Gul Ahmed,Kids' Wear,Formal,N/A,Dress,Black,Geometric,Summer,Wool,Low,3.6,Medium,Out of Stock,10%
Satrangi,Women's Wear,Casual,N/A,Pants,Black,Embroidered,Winter,Chiffon,Medium,3.8,Medium,In Stock,25%
Sana Safinaz,Women's Wear,Party,N/A,Dress,Blue,Floral,Summer,Cotton,Low,4.7,Low,Out of Stock,25%
Alkaram,Kids' Wear,Party,N/A,Dress,Green,Geometric,Summer,Wool,Medium,4.2,Medium,In Stock,15%
Satrangi,Kids' Wear,Mehendi,Green,Dress,Black,Geometric,Summer,Cotton,High,3.3,Low,In Stock,5%
Gul Ahmed,Kids' Wear,Party,N/A,Dress,Red,Printed,Winter,Silk,Low,3.9,Medium,Out of Stock,10%
Bonanza,Kids' Wear,Party,N/A,Dress,Blue,Striped,Summer,Silk,Low,4.6,Medium,In Stock,0%
Gul Ahmed,Kids' Wear,Casual,N/A,Skirt,Purple,Floral,Summer,Silk,High,4.0,Low,Out of Stock,0%
Nishat Linen,Women's Wear,Walima,N/A,Dress,Green,Geometric,Summer,Cotton,High,4.8,Medium,In Stock,25%
Gul Ahmed,Kids' Wear,Casual,N/A,Top,Red,Printed,Winter,Chiffon,High,3.7,High,In Stock,0%
Alkaram,Women's Wear,Wedding,N/A,Top,Green,Striped,Winter,Chiffon,Low,3.5,Low,Out of Stock,10%
Nishat Linen,Women's Wear,Wedding,N/A,Dress,Green,Embroidered,Summer,Linen,High,4.1,Medium,In Stock,0%
Khaadi,Kids' Wear,Mehendi,Blue,Dress,Yellow,Floral,Summer,Wool,Low,3.2,Low,In Stock,20%
Bonanza,Women's Wear,Party,N/A,Skirt,Green,Embroidered,Winter,Wool,High,4.2,Low,In Stock,20%
Sana Safinaz,Women's Wear,Mehendi,Red,Pants,Green,Floral,Summer,Silk,Low,3.2,Low,In Stock,0%
Ego,Kids' Wear,Party,N/A,Dress,Purple,Plain,Summer,Chiffon,Low,3.2,Medium,In Stock,5%
Alkaram,Women's Wear,Beach,N/A,Dress,Purple,Polka Dot,Winter,Silk,Low,4.4,Low,Out of Stock,5%
Khaadi,Women's Wear,Wedding,N/A,Top,Yellow,Printed,Summer,Silk,Medium,3.1,Medium,In Stock,15%
Gul Ahmed,Women's Wear,Wedding,N/A,Pants,Pink,Geometric,Summer,Linen,Medium,3.1,Medium,In Stock,10%
Bonanza,Kids' Wear,Casual,N/A,Pants,Red,Striped,Winter,Silk,Low,4.8,Low,Out of Stock,15%
Bonanza,Kids' Wear,Walima,N/A,Dress,Blue,Plain,Winter,Wool,High,3.2,Low,Out of Stock,25%
Bonanza,Kids' Wear,Mehendi,N/A,Pants,Pink,Floral,Winter,Linen,Medium,4.0,Medium,In Stock,0%
Nishat Linen,Kids' Wear,Walima,N/A,Pants,Pink,Printed,Summer,Wool,High,4.8,Medium,Out of Stock,0%
Khaadi,Women's Wear,Walima,N/A,Dress,Yellow,Embroidered,Summer,Wool,Low,4.8,Low,Out of Stock,5%
Alkaram,Women's Wear,Eid,N/A,Pants,White,Geometric,Winter,Silk,Low,3.1,Medium,In Stock,0%
Khaadi,Women's Wear,Formal,N/A,Top,Blue,Striped,Summer,Linen,Medium,3.5,High,In Stock,25%
Alkaram,Kids' Wear,Casual,N/A,Dress,Red,Printed,Summer,Linen,Low,4.2,Low,Out of Stock,20%
Sana Safinaz,Kids' Wear,Eid,N/A,Top,Yellow,Polka Dot,Summer,Silk,High,3.6,Medium,In Stock,25%
Ego,Kids' Wear,Wedding,N/A,Dress,Pink,Geometric,Winter,Wool,High,4.2,High,Out of Stock,10%
Khaadi,Kids' Wear,Party,N/A,Top,Yellow,Plain,Winter,Cotton,Low,4.2,Low,Out of Stock,25%
Sana Safinaz,Women's Wear,Walima,N/A,Pants,Blue,Polka Dot,Winter,Chiffon,Medium,4.1,Medium,Out of Stock,10%
Ego,Women's Wear,Eid,N/A,Skirt,Pink,Geometric,Summer,Wool,High,4.0,Low,Out of Stock,25%
Alkaram,Kids' Wear,Eid,N/A,Dress,Red,Striped,Winter,Linen,Medium,4.2,Low,In Stock,10%
Gul Ahmed,Kids' Wear,Party,N/A,Top,Yellow,Embroidered,Summer,Silk,Low,4.9,High,Out of Stock,5%
Nishat Linen,Women's Wear,Wedding,N/A,Pants,Purple,Embroidered,Summer,Linen,High,3.1,High,Out of Stock,0%
Alkaram,Women's Wear,Eid,N/A,Skirt,Red,Striped,Winter,Cotton,Low,3.3,Low,In Stock,0%
Nishat Linen,Kids' Wear,Formal,N/A,Top,Pink,Plain,Winter,Cotton,High,4.0,Medium,In Stock,5%
Gul Ahmed,Women's Wear,Mehendi,Blue,Pants,Purple,Embroidered,Summer,Linen,Low,3.8,Medium,Out of Stock,25%
Khaadi,Women's Wear,Formal,N/A,Skirt,Purple,Embroidered,Winter,Wool,Medium,3.5,Medium,Out of Stock,0%
Satrangi,Kids' Wear,Walima,N/A,Top,Green,Floral,Winter,Silk,Low,4.9,Medium,Out of Stock,0%
Khaadi,Kids' Wear,Beach,N/A,Skirt,Blue,Striped,Winter,Chiffon,Medium,4.1,Medium,In Stock,15%
Gul Ahmed,Women's Wear,Walima,N/A,Pants,Green,Printed,Winter,Linen,Medium,3.5,Low,Out of Stock,20%
Khaadi,Women's Wear,Eid,N/A,Dress,Green,Floral,Winter,Wool,Low,4.9,Medium,Out of Stock,15%
Sana Safinaz,Women's Wear,Casual,N/A,Skirt,Pink,Polka Dot,Summer,Wool,Medium,3.2,High,Out of Stock,10%
Gul Ahmed,Kids' Wear,Casual,N/A,Pants,Pink,Polka Dot,Winter,Wool,Medium,3.0,Medium,In Stock,15%
Satrangi,Kids' Wear,Formal,N/A,Skirt,Red,Polka Dot,Winter,Cotton,Medium,4.9,Medium,In Stock,25%
Sana Safinaz,Kids' Wear,Casual,N/A,Skirt,Red,Striped,Winter,Wool,Low,4.7,Medium,Out of Stock,25%
Nishat Linen,Kids' Wear,Mehendi,Green,Skirt,Purple,Polka Dot,Winter,Chiffon,High,3.4,Low,In Stock,10%
Sana Safinaz,Kids' Wear,Walima,N/A,Pants,Black,Floral,Summer,Silk,Medium,3.8,Medium,Out of Stock,25%
